prdx4,2.2,1.9,2.4,2.0,2.3,2.4,2.6,1.5,1.6,1.5,1.6,1.5,1.7,1.7,1.6,1.4,1.3,0.8,1.2,2.8,0.7,0.4,0.6,0.6,0.7,0.8,0.7,0.6,0.7,0.6,0.6,0.4,0.2,0.5,0.2,1.1,0.8,0.9,1.3,0.6,0.9,0.4,0.9,0.9,1.8,0.3,1.2,0.4,0.6,0.5,0.6,0.9,0.4,0.6,0.8,0.4,0.2,0.4,0.6,1.1,0.6,0.5,0.2,0.6,0.5,0.5,0.4,1.1,0.2,1.5,0.5,4.1,0.2,1.1,1.8,0.9,0.5,0.9,0.7,0.8,0.5,0.8,0.4,0.3,0.4,0.3,0.4,0.1,0.3,1.4,0.7,0.5,0.8,0.5,0.7,2.6,2.3,0.2,0.6,0.9,0.3,0.5,0.7,0.7,1.3,0.6,0.3,0.4,0.6,0.9,0.6,1.6,0.2,0.6,0.1,0.8,0.4,0.6,1.1,0.9,1.4,3.3,0.7,0.8,0.4,0.7,0.5,1.3,0.5,1.4,0.4,1.2,0.2,0.7,0.7,0.5,0.7,0.7,0.6,0.7,0.8,1.3,1.4,0.4,0.7,0.5,0.7,1.2,0.7,0.8,0.1,0.8,0.4,2.8,0.4,0.6,3.5,0.5,1.3,1.5,0.6,0.2,0.2,0.5,1.0,1.0,0.7,0.9,0.8,0.4,1.1,0.5,0.2,0.7,0.6,1.2,1.0,0.8,0.7,0.5,1.2,1.0,1.0,0.9,0.2,0.5,1.1,1.0,3.9,0.5,0.7,0.7,0.6,0.0,0.2,0.4,1.1,0.6,0.5,1.3,2.5,0.9,1.2,3.1
prdx6-like,3.8,4.1,5.3,4.2,4.2,4.7,5.0,3.8,4.3,4.5,4.5,4.9,5.3,4.8,4.8,4.3,4.8,5.6,6.0,4.6,4.1,5.8,4.6,6.0,5.0,5.4,4.6,4.5,4.6,4.6,4.2,3.6,6.0,4.7,5.7,6.9,4.7,4.5,6.7,5.0,3.6,5.3,4.6,8.1,6.0,4.8,6.8,6.8,3.7,3.1,3.0,2.4,3.3,2.4,7.7,4.1,2.9,2.7,3.8,6.2,3.6,3.8,2.8,4.2,4.6,3.5,4.2,3.6,4.1,4.0,4.4,3.1,5.5,1.6,3.9,2.6,3.5,3.7,3.8,3.6,3.9,3.5,4.0,4.8,4.2,3.8,3.8,3.4,3.3,7.0,3.1,3.2,3.5,3.6,2.1,3.1,4.0,2.6,3.0,3.2,1.8,3.8,4.0,2.9,2.4,2.4,2.4,2.6,1.9,3.1,2.2,21.6,0.9,5.8,4.1,4.0,4.9,3.8,3.4,4.1,5.4,3.0,2.1,4.0,4.6,4.3,4.9,5.1,4.1,2.1,2.2,3.4,4.0,3.9,3.4,2.1,3.5,3.6,3.3,2.9,3.3,3.0,3.1,1.8,2.2,2.6,3.1,4.7,2.1,2.2,1.2,6.9,3.9,17.1,3.8,3.9,4.7,4.5,3.0,3.3,2.6,3.9,0.5,4.2,3.0,3.7,3.1,4.2,3.8,5.2,2.9,5.0,5.6,4.0,4.1,1.6,2.8,2.4,4.4,4.8,4.0,3.9,4.4,4.5,4.1,6.5,2.2,2.9,3.1,3.9,2.0,1.6,2.1,1.5,2.4,3.4,4.0,4.2,4.0,4.2,22.4,2.2,2.8,2.1
prelid1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.0,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.4,0.5,0.0,0.3,0.6,0.7,0.9,0.7,0.9,0.9,0.8,0.7,0.6,0.5,0.8,0.1,0.6,0.5,0.4,1.4,0.6,1.0,0.4,0.5,0.5,0.7,0.9,1.0,0.8,0.6,0.5,0.8,0.8,0.6,0.9,0.9,0.6,0.6,0.7,0.8,0.3,0.7,0.6,0.9,0.5,0.2,0.9,0.8,0.8,0.4,0.7,0.3,0.4,0.3,0.7,0.8,0.7,0.5,0.5,0.6,1.0,1.2,1.4,1.0,1.0,1.4,1.3,1.0,1.5,1.2,1.0,1.2,1.4,1.5,1.2,1.1,1.5,1.4,1.1,1.4,0.5,0.9,0.7,0.2,0.5,1.0,1.0,1.1,0.9,1.0,1.3,1.2,0.7,0.8,2.3,1.8,0.4,0.9,2.0,1.1,0.6,0.7,0.8,0.9,1.2,1.1,1.5,1.4,0.9,0.9,1.1,0.6,1.3,0.9,0.7,1.1,1.3,1.4,1.2,1.1,0.9,1.0,1.4,1.1,0.7,0.9,0.9,1.2,0.9,0.5,0.8,1.2,0.8,0.9,0.4,1.0,0.8,3.1,0.9,1.3,0.7,0.6,0.9,1.2,0.9,1.1,0.1,0.5,1.2,0.8,0.9,1.2,1.2,0.9,1.5,0.8,1.1,1.1,1.4,0.4,1.0,1.5,1.2,1.0,1.0,1.4,1.5,1.0,0.1,1.0,0.7,0.8,0.8,1.1,0.5,1.0,0.5,2.6,2.2,1.5,1.0,1.0,1.8,0.5,2.1,1.0,1.1,1.4
prickle1,1.7,0.5,0.6,0.7,2.2,2.6,0.3,0.1,0.3,0.8,0.1,1.0,0.6,3.1,0.1,0.1,0.8,0.6,2.1,0.2,0.4,1.8,0.2,2.5,0.2,0.1,1.3,0.2,0.3,0.2,0.1,0.1,2.0,0.9,3.0,0.6,0.4,0.3,0.1,0.1,0.1,0.4,0.5,0.9,0.1,1.1,3.9,1.2,0.4,0.3,0.1,0.0,0.2,0.2,0.7,1.1,0.5,1.0,0.5,1.3,0.2,0.0,1.3,0.1,0.6,1.3,0.7,2.1,1.3,0.1,0.4,0.1,1.0,0.1,0.1,0.3,0.1,0.1,1.3,0.0,1.1,0.3,0.4,1.0,0.0,0.7,0.6,1.2,1.4,4.2,0.4,1.0,0.1,0.4,2.5,0.2,0.3,0.3,0.3,0.1,0.5,0.6,0.8,0.3,0.0,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.0,2.3,0.2,0.8,0.6,0.4,0.1,0.0,0.1,1.7,0.3,1.2,0.5,0.5,0.1,0.7,0.2,0.0,0.1,1.6,0.2,0.4,1.9,0.2,0.2,0.1,0.1,0.3,0.1,0.3,0.2,0.5,0.4,0.3,1.8,0.4,0.2,0.0,0.5,2.3,0.0,1.3,0.6,0.0,0.2,0.1,0.3,0.2,1.3,0.1,0.2,0.1,0.7,0.3,0.4,0.5,0.1,0.0,0.7,1.4,0.6,1.0,0.2,0.1,0.4,0.5,0.5,0.1,0.1,0.1,0.2,3.4,0.5,0.3,0.3,0.2,1.0,0.3,0.5,0.3,0.2,0.1,1.5,0.1,1.1,0.3,2.8,0.1,0.4,0.3,0.1
prkaa1,1.1,1.5,1.4,1.4,1.4,1.3,1.2,1.7,0.8,0.7,0.7,1.0,0.9,1.0,1.0,0.5,0.4,1.0,0.5,0.3,0.4,0.8,0.8,0.9,0.4,0.4,0.8,0.5,0.5,0.8,0.5,0.4,0.8,0.7,0.7,0.4,0.5,0.4,0.5,0.7,0.3,0.5,0.6,1.6,0.4,0.8,0.5,0.5,0.5,0.3,0.5,0.3,0.4,0.4,0.3,0.6,0.2,0.4,0.5,0.3,0.4,0.5,0.7,0.5,0.3,0.2,0.5,0.2,0.5,0.1,0.5,0.0,0.9,0.6,0.3,0.7,0.4,0.6,0.4,0.7,0.6,0.6,0.6,0.7,0.9,0.5,1.0,0.4,0.6,0.6,0.9,1.0,0.6,0.4,1.0,0.5,0.4,0.7,0.9,0.9,0.7,0.5,0.8,0.7,0.2,0.6,0.3,0.3,0.6,0.5,1.0,0.5,0.1,0.8,0.1,0.5,0.6,0.4,0.5,0.5,0.7,0.3,0.8,0.3,0.5,0.6,0.2,0.9,0.4,0.3,0.5,0.3,0.5,0.6,0.6,0.3,0.7,0.8,0.8,0.4,0.4,0.1,0.2,0.5,0.5,0.6,0.5,0.8,0.2,0.4,0.1,0.8,0.5,0.3,0.7,0.5,0.2,0.4,0.5,0.5,0.6,0.4,0.1,0.3,1.1,0.7,0.9,1.2,0.9,0.6,0.1,0.3,1.2,0.5,1.1,0.1,0.4,0.5,0.7,0.5,0.5,0.8,0.7,0.6,1.1,0.9,0.4,0.6,0.0,0.5,0.4,0.5,0.5,0.9,1.0,0.3,0.4,0.5,0.5,0.9,0.6,0.7,0.6,0.3
prkab1-like,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.3,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.7,0.4,0.4,1.1,1.1,1.8,1.2,1.6,1.1,1.4,1.3,1.6,1.1,1.2,1.3,1.3,0.9,1.3,1.2,0.7,1.6,1.4,1.4,0.8,1.6,1.1,1.0,1.3,0.2,1.8,1.1,1.2,1.4,1.2,1.2,1.5,0.9,1.2,0.9,0.9,1.0,1.0,1.0,1.6,2.2,1.2,0.9,1.3,1.0,0.9,0.3,0.8,0.6,1.0,0.7,0.8,1.1,0.5,1.5,1.7,1.2,0.5,1.2,1.9,1.4,1.1,1.5,1.2,1.3,3.1,1.1,1.0,0.9,1.3,0.7,1.1,1.2,1.1,1.0,1.4,1.2,1.0,0.9,0.8,0.8,1.2,1.5,1.4,1.3,1.0,1.1,1.1,1.3,1.6,1.4,0.7,1.4,0.4,1.1,2.0,1.2,1.0,1.2,1.3,1.1,1.2,1.4,1.2,1.1,1.0,0.9,0.7,1.5,0.9,1.2,0.9,1.1,1.0,1.7,1.5,1.0,1.1,1.2,1.5,0.9,1.3,1.5,1.2,1.4,1.3,1.0,1.0,0.6,2.3,1.3,0.3,0.7,0.3,1.4,1.2,1.5,1.5,0.5,1.8,1.6,1.3,1.3,0.4,0.6,2.2,0.9,1.1,1.5,1.4,1.2,2.0,1.3,1.2,1.4,1.2,1.0,1.6,1.3,1.1,1.2,1.5,2.1,1.2,1.5,1.2,0.7,1.2,1.6,2.5,1.4,0.9,1.1,0.9,0.5,1.0,1.4,1.7,1.5,1.4,0.4,1.3,2.2,1.5,1.3
prkaca,3.4,3.0,1.7,3.2,2.6,2.2,1.7,1.1,3.6,3.3,3.3,2.4,1.7,2.5,3.6,2.9,0.9,2.1,2.3,1.6,1.3,1.3,1.9,1.6,1.8,2.2,1.7,2.1,1.7,2.2,2.1,2.0,0.7,0.9,1.3,0.6,2.0,1.6,1.3,2.4,0.6,0.9,1.6,1.2,1.7,0.7,0.9,0.7,1.2,1.3,1.5,1.4,1.8,1.4,1.1,1.1,1.5,1.6,1.3,1.5,1.5,1.7,1.2,1.9,1.0,0.9,0.9,0.4,0.6,1.7,0.9,0.2,1.5,1.6,1.6,1.0,1.5,1.9,1.2,1.5,1.3,1.5,0.7,0.8,0.2,0.4,1.1,0.3,0.7,1.4,0.8,1.3,1.6,0.3,1.4,0.7,1.5,0.9,1.0,0.9,0.7,0.6,0.5,1.6,2.0,1.1,0.7,1.6,0.6,1.9,2.6,0.6,2.6,0.8,1.0,1.6,0.6,0.5,2.1,2.0,2.6,1.2,1.9,0.9,0.7,1.0,1.0,1.2,1.1,2.3,1.0,1.9,0.3,4.0,1.1,1.5,0.9,1.5,1.2,1.7,2.0,2.1,1.6,1.1,0.8,1.7,0.9,0.4,1.3,1.6,1.8,1.1,0.7,0.4,0.9,0.8,0.8,2.0,2.2,1.6,1.2,0.5,2.8,1.8,1.2,1.6,1.1,1.5,1.0,0.8,0.6,1.4,0.9,0.8,1.7,1.6,2.0,0.8,0.6,0.8,2.1,2.2,2.1,1.9,0.6,0.7,1.9,1.6,1.1,1.1,1.3,1.0,1.4,1.5,3.6,1.5,2.0,0.9,0.7,2.0,0.7,2.2,2.6,0.8
prkd1,2.2,1.7,1.2,1.8,1.5,1.5,0.9,1.5,0.8,0.8,0.8,0.6,0.7,0.5,0.7,0.5,0.7,0.2,0.2,0.0,0.3,0.5,0.2,0.4,0.2,0.1,0.9,0.3,0.6,0.6,0.5,0.1,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.3,0.5,0.4,0.4,0.0,0.2,0.5,0.7,0.1,0.4,0.4,0.5,0.3,0.5,0.4,0.3,0.4,0.0,0.2,0.4,0.5,0.3,0.2,0.7,0.4,0.3,0.7,0.2,0.4,0.5,0.6,0.4,0.7,0.2,0.3,0.1,0.4,0.5,0.4,0.8,0.3,1.0,0.4,0.4,0.7,1.5,0.8,0.5,0.1,0.7,1.2,0.7,0.7,0.5,0.2,0.7,0.3,0.9,0.8,1.1,0.8,0.9,0.4,0.5,1.2,0.4,0.9,0.5,0.3,0.0,0.3,0.4,0.3,0.0,0.2,0.5,0.5,0.4,0.3,0.2,0.3,0.1,0.2,0.5,0.2,0.5,0.4,0.4,1.0,0.7,1.0,0.2,0.4,0.1,0.2,0.2,0.8,0.6,0.8,0.7,0.5,0.9,0.3,0.6,0.8,0.4,0.9,0.7,0.8,1.3,0.9,0.1,0.5,0.6,0.1,0.5,0.2,0.4,0.5,0.8,0.8,0.7,0.2,0.2,0.4,0.6,0.9,0.8,0.9,1.3,0.8,2.1,0.5,0.4,0.4,0.7,0.1,0.2,0.4,0.3,0.3,0.4,0.4,0.5,0.1,0.4,0.4,0.7,0.7,0.7,0.5,1.2,0.5,0.7,0.2,0.5,1.4,0.8,0.5,0.2,0.4,0.3,0.7,0.9,0.2
prkrip1,3.1,3.1,3.6,3.0,3.3,3.6,3.5,2.2,2.9,2.8,2.9,3.0,3.9,3.0,2.9,3.3,3.5,3.4,2.6,1.0,1.2,1.3,1.8,1.1,1.5,1.4,1.2,1.5,1.3,1.6,1.6,1.8,0.6,1.6,1.9,1.5,1.7,1.9,0.9,1.2,2.4,2.0,1.4,1.8,1.7,1.4,0.6,1.7,1.5,1.6,1.8,1.0,1.6,1.4,1.6,1.5,2.1,1.6,1.1,1.7,1.3,1.5,1.5,1.4,1.6,1.3,1.9,0.8,0.8,1.1,1.8,1.6,0.7,1.3,1.6,0.9,0.6,1.2,1.4,1.9,1.4,1.3,1.5,1.2,2.1,2.1,1.2,0.3,1.0,0.9,1.3,1.0,1.3,1.4,0.8,1.4,2.2,1.5,1.3,1.2,1.1,2.0,1.2,1.2,1.7,1.8,1.4,0.9,0.3,1.4,0.7,0.9,1.4,1.1,1.1,1.4,1.7,2.0,1.8,1.4,1.7,1.2,1.4,1.6,1.3,1.8,1.4,4.4,1.5,1.5,0.6,0.8,0.6,0.4,1.0,1.2,1.1,1.3,1.0,1.1,2.1,1.9,1.9,1.6,1.5,1.3,1.3,0.6,0.5,1.8,1.4,1.3,2.7,0.9,1.0,1.1,0.7,0.5,1.6,2.1,1.5,0.6,1.3,0.6,1.4,0.8,1.4,1.2,1.7,1.8,3.4,1.4,1.0,1.8,1.0,0.4,1.2,1.8,2.0,1.8,1.7,1.5,1.4,1.5,0.8,1.3,1.6,1.7,2.1,1.1,1.1,1.3,1.4,1.2,0.6,1.3,1.4,1.4,1.5,1.5,0.7,1.2,1.7,1.3
prmt1,24.1,54.9,32.7,59.5,58.6,41.7,28.6,29.5,90.0,96.9,80.7,59.0,48.2,78.8,74.0,79.6,48.5,44.8,45.0,19.7,54.4,48.7,65.7,40.6,80.3,77.5,68.5,68.6,36.2,30.3,32.3,10.3,20.4,37.8,29.2,30.5,47.1,44.9,8.3,23.0,19.1,36.1,61.1,27.2,31.0,39.8,16.0,33.8,42.5,30.9,25.4,20.5,18.6,19.0,22.6,34.3,10.3,31.4,45.8,29.7,53.5,48.9,43.0,50.7,28.8,26.9,31.5,7.9,14.0,7.3,28.6,6.3,20.0,12.9,18.4,27.4,6.1,36.8,34.3,31.8,16.4,39.2,25.8,20.5,21.6,27.0,29.1,9.6,26.2,3.8,33.7,25.8,40.5,22.2,29.0,11.8,5.2,11.1,10.1,9.3,11.5,24.5,23.4,24.2,27.4,21.7,28.8,15.6,10.5,18.7,2.8,6.0,0.4,22.4,9.4,40.7,27.6,25.6,36.9,38.7,36.9,10.9,26.4,29.2,26.2,33.5,30.3,22.5,29.6,25.4,5.4,23.4,16.1,4.8,37.9,16.4,37.5,35.6,34.2,23.1,23.2,17.8,29.2,25.1,9.9,9.9,11.0,12.1,15.3,25.3,2.5,29.0,10.1,6.3,29.8,24.3,5.0,4.2,25.5,18.0,21.6,12.6,1.4,4.1,29.8,22.7,33.5,34.1,29.6,27.3,21.9,24.6,20.9,28.0,23.1,5.0,18.9,22.3,28.1,25.4,33.4,30.4,38.6,37.5,9.0,24.3,18.8,13.6,1.3,27.6,7.0,6.2,6.5,2.2,2.1,23.3,35.1,25.9,23.0,11.1,6.5,25.1,19.0,6.1
