acly,1.1,0.7,0.7,0.7,0.7,0.7,0.6,0.9,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.5,0.2,0.7,17.7,0.7,0.1,0.2,0.5,0.3,0.3,0.4,0.2,0.1,0.1,0.1,10.5,0.2,0.1,0.5,0.5,0.2,0.1,5.4,1.1,1.1,0.1,0.2,0.0,2.3,0.1,0.4,0.4,0.2,0.2,0.6,0.3,0.4,0.1,0.2,0.1,6.2,0.2,0.2,0.0,0.2,0.4,0.6,0.1,0.1,0.3,0.1,0.7,0.1,5.7,0.1,13.3,0.1,0.0,1.6,0.4,7.2,0.4,0.3,0.7,0.8,0.4,0.2,1.0,0.0,0.2,0.9,0.1,0.3,0.2,0.3,0.3,0.2,0.0,0.1,3.8,5.0,0.0,0.1,2.6,0.1,0.1,0.1,0.3,0.1,0.7,0.2,0.8,1.4,0.9,1.3,1.2,11.8,0.1,0.5,0.3,0.2,0.2,0.4,0.5,0.7,3.5,0.0,0.2,0.2,0.2,0.2,0.1,1.1,0.1,1.5,1.3,0.1,2.4,0.3,0.2,0.4,0.6,0.3,0.1,0.3,0.2,0.5,0.3,0.3,0.1,0.1,0.4,1.6,0.2,10.3,0.3,0.1,0.8,0.1,0.3,4.5,6.7,0.4,0.5,0.4,0.1,8.4,7.9,0.3,0.9,0.4,0.4,0.6,0.1,0.2,1.5,1.1,0.4,0.2,0.9,0.8,0.5,0.2,0.2,0.6,0.5,0.5,0.3,0.2,0.2,0.2,0.7,5.5,0.1,0.2,0.3,0.1,1.8,1.2,0.3,0.5,0.1,0.3,0.3,1.2,0.4,0.4,3.5
aco1,1.3,0.9,1.0,1.1,0.9,1.1,1.0,0.6,1.1,1.1,1.0,0.9,1.1,1.0,1.0,1.1,1.1,0.6,1.1,0.2,0.6,0.7,0.7,0.3,0.5,0.4,0.6,0.5,0.6,0.5,0.8,0.6,0.4,0.4,0.6,0.9,0.5,0.5,0.5,0.5,0.2,0.5,0.5,1.0,0.4,0.5,0.6,0.4,0.4,0.4,0.3,0.2,0.5,0.5,0.4,0.4,0.3,0.4,0.2,0.2,0.3,1.6,0.4,0.4,0.6,0.8,0.7,0.3,0.2,0.5,0.5,0.3,0.2,0.3,0.4,0.3,0.8,0.5,0.4,0.4,0.6,0.3,0.3,0.5,0.5,0.4,0.3,0.3,0.5,0.3,0.4,0.5,0.3,0.2,0.4,0.5,0.5,0.4,0.3,0.6,0.3,0.4,0.2,0.4,0.4,0.6,0.6,0.6,0.6,0.4,1.0,0.4,0.9,0.4,0.0,0.5,0.5,0.3,0.5,0.5,0.3,0.4,0.3,0.6,0.5,0.6,0.7,0.3,0.3,0.9,1.9,0.8,0.4,0.5,0.3,0.5,0.5,0.5,0.6,0.4,0.5,0.3,0.5,0.4,0.3,0.4,0.6,0.2,0.8,0.2,0.4,0.5,0.8,0.8,0.3,0.2,0.5,0.7,0.6,0.3,0.5,0.4,0.1,0.3,0.2,0.4,0.3,0.3,0.5,0.1,0.7,0.5,0.5,0.4,0.8,2.0,0.8,0.8,0.3,0.5,0.6,0.4,0.4,0.4,0.5,0.3,0.5,0.3,0.7,0.3,0.4,0.3,0.7,0.3,0.8,0.5,0.4,0.5,0.3,0.8,0.6,0.3,0.4,0.5
acp5,0.4,0.2,0.3,0.2,0.2,0.1,0.1,0.2,0.5,0.3,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.5,0.1,0.1,0.8,0.2,1.3,1.5,1.1,1.8,0.8,1.2,0.2,0.3,0.2,0.1,0.3,0.5,0.5,1.3,0.6,0.2,0.1,0.2,0.0,0.6,0.4,0.2,0.3,0.5,0.3,0.4,0.4,0.3,0.1,0.1,0.1,0.2,1.3,0.4,0.1,0.1,0.4,0.6,0.7,1.3,0.5,0.8,0.4,0.6,0.5,0.2,0.1,0.1,0.4,0.3,0.1,0.1,0.1,0.3,0.3,0.8,0.4,1.4,0.9,1.7,0.7,0.6,0.7,0.9,1.5,0.2,0.4,1.0,0.9,0.5,0.8,1.7,0.2,0.3,0.1,0.4,0.3,0.2,0.2,0.4,0.3,1.2,1.0,0.8,0.3,0.7,0.4,0.5,0.0,1.0,0.2,1.3,1.3,1.0,0.3,0.6,1.1,0.8,1.0,0.2,0.6,1.0,0.5,0.7,0.4,0.7,1.6,0.6,0.1,0.4,0.2,0.2,0.9,0.5,1.2,1.1,0.8,0.4,0.8,0.5,0.4,0.6,0.2,0.1,0.5,0.0,0.6,0.8,0.1,1.4,0.3,1.0,0.4,1.4,0.6,0.1,0.8,1.1,0.4,0.2,0.0,0.2,1.3,0.2,0.9,1.1,0.9,0.2,0.9,1.5,0.5,1.1,0.5,0.0,0.8,0.3,0.7,0.5,0.9,1.6,0.9,0.2,0.5,1.3,0.9,0.4,0.1,0.4,0.2,0.2,0.1,0.0,0.0,0.3,1.5,0.3,1.0,0.4,1.3,0.9,1.1,0.0
acrc,1.4,0.9,0.6,0.8,0.9,0.9,1.1,0.1,0.9,0.9,0.6,0.7,0.8,0.9,0.8,0.8,0.8,1.0,0.4,0.1,0.5,0.8,1.1,0.5,1.1,0.6,1.1,1.3,0.6,0.4,0.7,0.1,0.4,0.7,0.8,0.7,0.6,0.8,0.4,0.5,0.2,0.8,0.8,0.8,0.6,0.7,0.4,0.9,0.5,0.7,0.8,0.3,0.5,0.5,0.7,0.6,0.3,1.0,1.0,1.1,0.9,1.0,0.9,0.9,0.6,0.6,0.9,0.0,0.3,0.2,0.8,0.0,0.6,0.9,1.2,0.4,0.6,0.9,0.7,1.8,0.9,1.2,0.9,0.6,0.7,0.9,1.2,0.2,0.5,0.4,0.9,0.7,1.1,0.9,0.4,0.5,0.4,0.4,0.3,0.0,0.3,0.8,0.7,0.8,0.9,1.4,0.6,0.2,0.1,0.4,0.2,0.2,0.2,1.4,0.8,1.0,0.8,0.5,1.3,1.0,1.0,0.4,1.0,0.8,0.6,0.6,0.9,0.6,0.5,0.6,0.6,0.7,0.2,0.8,0.6,1.1,0.9,0.9,0.9,0.4,0.8,0.2,0.7,0.6,0.4,0.4,0.3,0.1,0.3,0.8,0.1,1.3,0.3,0.2,0.7,0.6,0.5,0.5,0.9,1.3,0.5,0.3,0.1,0.4,0.6,0.6,0.8,0.6,0.8,0.4,0.4,0.5,0.8,0.6,0.7,0.3,0.5,0.4,0.7,0.6,1.1,1.2,1.0,1.6,0.6,1.4,0.8,0.6,0.1,0.7,0.3,0.2,0.4,0.0,0.8,0.6,1.1,0.7,0.6,0.2,0.3,0.7,0.7,0.4
acsl1,2.6,0.8,1.1,0.8,1.1,1.3,1.3,0.8,1.0,1.2,1.2,1.5,1.8,1.5,1.1,1.5,1.4,3.0,0.9,10.6,1.0,2.5,2.6,1.5,1.6,1.4,1.3,1.7,4.8,4.4,2.8,1.8,1.1,2.2,2.5,1.6,3.3,5.3,4.1,2.3,2.4,2.8,2.6,3.0,4.5,2.0,1.4,2.2,2.4,2.6,3.1,1.4,2.8,2.5,1.3,1.8,1.2,1.5,1.7,1.3,1.0,1.4,0.6,1.3,1.7,1.8,1.9,0.9,0.9,3.3,2.1,5.3,1.8,1.4,3.9,0.8,7.6,1.6,1.6,1.2,1.2,2.1,2.4,2.0,2.5,2.2,2.6,1.2,2.0,0.9,3.6,2.4,2.3,2.3,2.9,2.9,3.7,8.6,7.0,3.5,5.9,3.0,2.3,4.7,2.1,4.4,6.5,0.7,0.6,1.4,4.1,1.8,3.0,2.7,2.0,2.1,2.0,3.7,2.2,1.7,1.3,2.3,2.8,2.3,1.6,2.6,1.5,3.5,2.6,2.2,0.6,1.1,1.2,3.4,2.7,3.6,4.2,3.4,3.2,6.9,4.6,5.1,3.5,4.7,5.7,8.6,5.5,1.2,1.3,2.4,2.3,2.5,0.6,0.8,2.3,3.4,4.4,6.5,3.8,4.2,5.7,1.5,3.9,6.9,3.9,2.3,4.2,4.2,4.0,3.3,2.6,2.1,2.5,2.5,2.3,2.7,1.2,4.2,3.2,2.4,1.8,1.8,2.4,1.9,3.7,2.5,5.1,5.8,5.3,2.3,5.6,3.9,8.1,4.8,5.5,1.6,2.0,2.0,2.4,0.9,1.7,2.9,2.0,1.5
act3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,111.4,0.0,0.2,0.4,0.1,0.0,0.1,0.1,0.4,0.1,0.1,0.0,0.1,0.3,0.2,0.1,0.5,0.3,0.5,0.1,0.4,0.3,0.1,1.3,0.3,0.3,0.5,0.2,0.2,0.2,0.0,0.3,0.4,0.3,0.2,1.0,162.7,0.3,0.3,0.5,0.1,0.3,0.2,0.3,0.2,0.2,0.5,0.2,0.1,0.3,0.3,0.6,0.0,0.1,0.2,200.5,1.1,0.6,0.2,0.2,0.2,0.3,0.3,0.1,0.3,0.3,0.3,0.5,0.2,0.3,0.1,0.6,0.2,0.4,0.4,0.2,0.0,0.2,0.1,0.2,0.5,0.8,0.2,0.2,0.2,0.4,0.2,0.2,0.1,0.2,0.3,0.0,0.4,0.2,0.0,0.1,0.9,0.0,0.2,0.2,121.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.3,0.1,0.2,1.0,0.2,0.3,0.9,0.3,0.2,0.3,0.0,0.2,0.7,0.1,0.5,0.5,0.2,0.1,0.3,131.5,0.5,3.1,0.2,0.3,0.2,0.2,0.1,0.1,0.4,0.2,0.5,0.5,0.0,0.0,0.3,0.4,0.4,0.3,0.3,0.2,0.4,0.2,0.4,1.4,0.3,0.2,0.2,1.0,0.2,0.2,1.1,0.0,0.0,0.7,0.2,0.6,0.1,0.2,2.6,0.1,0.1,0.3
acta2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.2,21.0,0.1,0.9,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.1,0.2,0.0,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.3,0.4,0.1,0.1,19.7,0.1,0.2,0.0,0.0,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.0,1.7,0.2,0.1,0.7,26.6,0.3,0.2,0.1,0.1,0.0,0.2,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.4,0.2,0.0,0.1,0.2,0.2,0.5,0.1,0.0,0.1,0.5,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.5,0.1,0.0,0.0,1.1,0.3,0.2,0.2,6.7,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.2,0.2,0.0,0.0,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.0,0.1,6.5,0.1,0.2,0.0,0.2,0.1,0.1,0.1,0.4,0.5,0.7,0.1,0.0,0.1,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.1,0.1,0.0
actb,5.1,9.0,3.4,9.0,8.0,5.1,3.9,4.5,13.9,12.4,12.6,8.5,12.8,10.1,13.4,16.1,8.7,17.7,7.0,20.6,21.5,20.4,25.3,27.6,20.4,23.0,21.7,21.6,56.4,81.8,63.5,22.0,14.2,25.3,25.6,35.1,49.6,30.4,40.9,61.2,64.2,23.6,22.1,31.8,39.0,18.7,25.4,35.8,22.7,41.4,30.4,52.1,78.4,48.2,44.6,22.7,18.0,23.6,22.8,23.5,20.8,21.5,21.3,21.2,36.8,36.4,29.3,22.7,16.5,30.5,21.8,13.5,26.9,59.5,38.5,25.3,43.4,22.1,23.3,23.3,28.0,22.1,24.8,44.7,41.7,27.1,46.7,11.6,24.9,23.4,32.7,29.1,19.9,14.0,27.7,52.8,79.8,151.4,122.3,97.4,73.4,25.7,25.5,60.9,32.4,48.2,39.2,26.0,40.5,34.2,65.0,80.6,25.1,30.3,26.5,24.3,29.8,23.3,26.0,26.2,29.8,61.2,26.9,35.8,36.4,35.2,29.8,59.1,64.4,53.9,42.3,32.3,17.0,71.4,36.2,40.4,36.6,50.0,33.9,74.8,76.2,59.5,44.0,58.2,87.7,152.8,131.5,28.4,46.9,54.3,30.3,43.6,44.0,110.1,25.2,23.7,65.0,45.4,43.2,53.6,56.7,15.4,31.4,49.8,37.7,42.4,39.7,54.9,40.1,41.5,55.3,67.3,65.7,39.2,39.2,52.9,30.2,43.0,29.1,35.9,25.9,31.2,26.6,24.7,48.6,41.1,74.7,95.0,46.8,32.2,133.6,76.9,175.2,64.2,67.7,28.8,26.6,41.8,19.0,49.2,117.6,52.8,50.8,53.4
actc1,0.2,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.3,4.5,0.4,0.3,0.2,0.2,0.4,0.5,1.7,0.1,0.3,0.6,0.3,0.4,0.2,0.6,0.2,0.7,0.3,0.2,0.4,0.1,157.0,1.7,30.2,0.7,0.2,0.2,0.0,0.5,0.1,0.2,0.2,0.3,0.1,7.4,2.1,0.5,0.4,0.3,0.7,0.0,0.4,0.4,0.6,16.2,0.3,1.6,0.4,0.5,0.3,0.9,0.2,0.5,1.3,26.6,0.9,1.4,196.8,0.3,1.2,0.0,1.0,0.2,0.2,0.3,0.3,0.3,0.8,0.3,0.1,0.2,0.4,13.0,0.7,0.6,0.4,282.5,9.0,4.7,0.3,0.2,0.3,0.1,0.2,0.2,0.2,0.4,0.2,0.0,0.3,0.3,1.5,0.9,0.1,0.4,1.1,0.2,0.0,0.2,0.3,0.4,0.0,1.9,0.6,0.5,0.5,0.6,0.5,0.3,0.5,0.4,0.5,0.4,11.1,0.6,1.2,0.1,0.9,0.2,0.1,0.4,200.8,0.2,0.1,0.2,0.3,0.4,0.2,0.4,0.7,0.2,0.5,0.9,0.4,1.2,0.5,0.5,1.2,0.9,0.3,0.3,0.3,0.2,9.1,0.2,0.2,0.4,0.9,0.5,0.5,222.5,1.0,3.2,0.1,1.9,0.6,0.2,0.3,0.3,0.8,0.6,13.0,0.5,0.7,0.3,0.4,0.3,0.3,0.5,0.4,0.2,0.5,0.3,0.3,2.4,0.7,0.8,0.4,12.5,0.5,0.6,1.0,1.1,0.2,1.4,0.3,10.1,0.4,0.2,1.9,0.8,0.5,0.6
actg1,6.4,6.5,3.9,6.5,5.3,4.1,4.6,4.2,13.4,17.1,14.9,8.2,9.4,13.2,12.6,14.6,8.6,9.5,11.2,37.8,59.4,55.5,36.3,82.1,33.6,35.3,50.3,29.7,170.2,192.5,131.0,26.8,33.8,33.9,39.5,72.9,111.6,55.6,75.2,95.2,164.2,28.4,55.1,27.6,60.4,34.2,52.4,46.0,59.5,95.7,53.5,124.4,199.3,156.5,90.3,42.4,30.0,56.7,39.7,54.7,36.0,40.1,46.6,32.0,52.5,50.6,36.6,48.7,29.7,57.4,27.9,33.3,30.0,82.5,59.3,83.5,98.1,40.9,56.5,45.2,75.9,44.1,33.2,67.3,102.4,33.4,70.3,24.2,47.8,49.3,77.7,77.9,44.0,20.2,71.6,140.2,107.6,408.9,355.0,193.7,281.3,30.4,36.8,144.5,65.6,88.6,125.4,48.6,148.0,87.0,86.8,210.7,45.0,43.0,38.8,54.8,46.4,39.5,56.6,51.6,55.2,141.4,83.1,51.5,67.2,59.2,55.8,139.5,108.2,125.3,157.7,72.8,41.9,117.8,96.1,130.6,94.9,111.3,92.2,180.1,174.2,120.9,94.1,145.7,334.6,408.9,371.5,93.2,175.1,128.3,52.0,37.4,48.9,230.5,71.3,29.1,66.9,121.1,82.4,107.1,125.1,30.2,55.7,131.7,107.9,101.2,89.3,126.0,88.5,53.2,109.0,115.2,99.6,57.2,50.9,173.9,52.3,124.9,35.3,46.9,46.8,50.8,57.0,48.2,57.1,41.4,154.1,190.8,53.4,79.9,354.4,274.9,408.7,89.4,90.0,68.5,56.1,66.1,28.0,94.8,267.4,120.7,116.8,103.7
